pH,Humidity,Air Temp,Plant Type
7.4,48.0,24.0,Warm-Season Fruits and Vegetables
7.0,58.0,20.0,Warm-Season Fruits and Vegetables
7.2,66.0,23.0,Warm-Season Fruits and Vegetables
6.0,40.0,20.0,Leafy Greens and Root Vegetables
6.1,42.0,20.0,Leafy Greens and Root Vegetables
7.7,45.0,21.0,Herbs and Aromatic Plants
7.0,43.0,18.0,Herbs and Aromatic Plants
7.0,43.0,23.0,Warm-Season Fruits and Vegetables
6.5,37.0,19.0,Leafy Greens and Root Vegetables
6.5,41.0,20.0,Leafy Greens and Root Vegetables
7.2,41.0,19.0,Herbs and Aromatic Plants
7.5,41.0,16.0,Herbs and Aromatic Plants
7.4,40.0,23.0,Warm-Season Fruits and Vegetables
7.6,42.0,24.0,Herbs and Aromatic Plants
7.3,42.0,24.0,Warm-Season Fruits and Vegetables
7.6,59.0,25.0,Herbs and Aromatic Plants
8.0,59.0,24.0,Herbs and Aromatic Plants
7.6,45.0,22.0,Herbs and Aromatic Plants
7.3,45.0,22.0,Warm-Season Fruits and Vegetables
7.6,44.0,19.0,Herbs and Aromatic Plants
7.2,44.0,17.0,Herbs and Aromatic Plants
7.8,40.0,20.0,Herbs and Aromatic Plants
7.3,40.0,22.0,Warm-Season Fruits and Vegetables
7.7,40.0,19.0,Herbs and Aromatic Plants
7.8,40.0,22.0,Herbs and Aromatic Plants
7.3,67.0,20.0,Warm-Season Fruits and Vegetables
7.6,42.0,21.0,Herbs and Aromatic Plants
6.3,43.0,19.0,Leafy Greens and Root Vegetables
7.6,42.0,19.0,Herbs and Aromatic Plants
7.5,42.0,19.0,Herbs and Aromatic Plants
7.5,43.0,22.0,Warm-Season Fruits and Vegetables
7.5,43.0,19.0,Herbs and Aromatic Plants
7.3,48.0,28.1,Warm-Season Fruits and Vegetables
7.2,53.0,24.9,Warm-Season Fruits and Vegetables
6.6,46.0,21.9,Warm-Season Fruits and Vegetables
7.5,40.0,20.9,Warm-Season Fruits and Vegetables
7.0,40.0,20.7,Warm-Season Fruits and Vegetables
8.0,40.0,21.9,Herbs and Aromatic Plants
7.0,59.0,19.5,Herbs and Aromatic Plants
7.0,45.0,19.1,Herbs and Aromatic Plants
6.0,45.0,18.7,Leafy Greens and Root Vegetables
7.0,44.0,20.5,Warm-Season Fruits and Vegetables
7.0,44.0,20.6,Warm-Season Fruits and Vegetables
7.0,40.0,20.2,Warm-Season Fruits and Vegetables
6.2,40.0,19.4,Leafy Greens and Root Vegetables
6.1,40.0,18.9,Leafy Greens and Root Vegetables
6.3,37.0,18.9,Leafy Greens and Root Vegetables
6.0,35.0,18.9,Leafy Greens and Root Vegetables
6.5,37.0,19.7,Leafy Greens and Root Vegetables
6.0,42.0,19.3,Leafy Greens and Root Vegetables
7.5,43.0,19.3,Herbs and Aromatic Plants
6.0,43.0,18.5,Leafy Greens and Root Vegetables
7.5,42.0,19.3,Herbs and Aromatic Plants
7.6,44.0,18.8,Herbs and Aromatic Plants
7.9,51.0,19.0,Herbs and Aromatic Plants
7.4,51.0,21.2,Warm-Season Fruits and Vegetables
7.0,44.0,24.5,Warm-Season Fruits and Vegetables
7.5,44.0,19.6,Herbs and Aromatic Plants
7.0,44.0,19.0,Herbs and Aromatic Plants
6.0,51.0,19.4,Leafy Greens and Root Vegetables
8.0,44.0,18.4,Herbs and Aromatic Plants
8.0,47.0,19.1,Herbs and Aromatic Plants
6.9,53.0,26.2,Warm-Season Fruits and Vegetables
7.5,66.0,22.8,Warm-Season Fruits and Vegetables
7.4,66.0,20.3,Warm-Season Fruits and Vegetables
6.2,60.0,19.8,Leafy Greens and Root Vegetables
7.0,42.0,19.9,Herbs and Aromatic Plants
7.0,42.0,19.9,Herbs and Aromatic Plants
7.0,45.0,20.1,Warm-Season Fruits and Vegetables
7.0,46.0,19.5,Herbs and Aromatic Plants
7.0,44.0,19.1,Herbs and Aromatic Plants
7.0,44.0,20.6,Warm-Season Fruits and Vegetables
7.0,43.0,19.5,Herbs and Aromatic Plants
7.0,43.0,21.1,Warm-Season Fruits and Vegetables
7.0,41.0,20.0,Warm-Season Fruits and Vegetables
5.3,38.0,7.4,Berries and Evergreens
6.0,42.0,13.3,Leafy Greens and Root Vegetables
6.2,59.0,19.0,Leafy Greens and Root Vegetables
5.7,45.0,20.0,Leafy Greens and Root Vegetables
6.2,44.0,18.0,Leafy Greens and Root Vegetables
6.5,40.0,18.0,Leafy Greens and Root Vegetables
6.3,33.0,20.0,Leafy Greens and Root Vegetables
7.5,67.0,22.6,Warm-Season Fruits and Vegetables
7.6,42.0,19.7,Herbs and Aromatic Plants
7.6,42.0,18.0,Herbs and Aromatic Plants
7.4,44.0,23.0,Warm-Season Fruits and Vegetables
7.0,51.0,21.9,Warm-Season Fruits and Vegetables
7.9,51.0,24.2,Herbs and Aromatic Plants
7.2,45.0,19.0,Herbs and Aromatic Plants
7.5,45.0,20.8,Warm-Season Fruits and Vegetables
7.5,45.0,22.0,Warm-Season Fruits and Vegetables
8.0,45.0,20.0,Herbs and Aromatic Plants
7.5,45.0,24.8,Warm-Season Fruits and Vegetables
6.5,39.0,15.0,Leafy Greens and Root Vegetables
4.6,37.0,9.0,Berries and Evergreens
6.0,37.0,12.0,Leafy Greens and Root Vegetables
6.0,34.0,15.0,Leafy Greens and Root Vegetables
6.5,30.0,13.0,Leafy Greens and Root Vegetables
6.5,41.0,17.0,Leafy Greens and Root Vegetables
6.5,53.0,12.0,Leafy Greens and Root Vegetables
7.7,60.0,16.0,Herbs and Aromatic Plants
6.0,42.0,19.0,Leafy Greens and Root Vegetables
6.0,42.0,10.0,Leafy Greens and Root Vegetables
5.0,37.0,1.0,Berries and Evergreens
7.7,46.0,16.0,Herbs and Aromatic Plants
5.0,40.0,9.0,Berries and Evergreens
5.0,38.0,3.0,Berries and Evergreens
5.2,40.0,6.0,Berries and Evergreens
6.0,30.0,14.0,Leafy Greens and Root Vegetables
6.0,39.7,16.0,Leafy Greens and Root Vegetables
6.4,40.2,13.0,Leafy Greens and Root Vegetables
6.4,59.2,12.0,Leafy Greens and Root Vegetables
6.4,38.6,12.0,Leafy Greens and Root Vegetables
6.0,31.5,10.0,Leafy Greens and Root Vegetables
7.0,46.5,16.0,Herbs and Aromatic Plants
6.0,57.6,16.0,Leafy Greens and Root Vegetables
7.0,46.9,25.0,Warm-Season Fruits and Vegetables
6.4,39.5,20.0,Leafy Greens and Root Vegetables
6.4,44.6,15.0,Leafy Greens and Root Vegetables
6.4,55.7,15.0,Leafy Greens and Root Vegetables
6.0,44.8,12.0,Leafy Greens and Root Vegetables
5.3,33.5,7.0,Berries and Evergreens
5.0,34.0,7.0,Berries and Evergreens
5.0,38.0,9.0,Berries and Evergreens
4.0,36.0,6.0,Berries and Evergreens
4.0,32.0,0.0,Berries and Evergreens
4.0,31.0,1.0,Berries and Evergreens
6.4,47.0,13.0,Leafy Greens and Root Vegetables
6.4,51.0,14.0,Leafy Greens and Root Vegetables
6.4,31.0,10.0,Leafy Greens and Root Vegetables
6.4,47.0,17.0,Leafy Greens and Root Vegetables
6.4,32.0,16.0,Leafy Greens and Root Vegetables
6.4,38.0,12.0,Leafy Greens and Root Vegetables
6.4,38.0,14.0,Leafy Greens and Root Vegetables
6.0,43.0,17.0,Leafy Greens and Root Vegetables
6.0,48.0,12.0,Leafy Greens and Root Vegetables
6.4,42.0,14.0,Leafy Greens and Root Vegetables
6.4,30.0,10.0,Leafy Greens and Root Vegetables
6.6,56.0,21.0,Warm-Season Fruits and Vegetables
8.0,55.0,16.0,Herbs and Aromatic Plants
8.0,60.0,15.0,Herbs and Aromatic Plants
8.0,59.0,20.0,Herbs and Aromatic Plants
8.0,57.0,21.0,Herbs and Aromatic Plants
6.4,95.0,27.0,Tropical and Wetland Plants
6.4,95.0,29.0,Tropical and Wetland Plants
6.4,95.0,29.0,Tropical and Wetland Plants
7.0,72.0,25.0,Tropical and Wetland Plants
7.0,95.0,30.0,Tropical and Wetland Plants
6.4,60.0,18.0,Leafy Greens and Root Vegetables
6.0,53.0,19.0,Leafy Greens and Root Vegetables
7.0,40.0,18.0,Herbs and Aromatic Plants
6.0,52.0,18.0,Leafy Greens and Root Vegetables
7.0,56.0,20.0,Warm-Season Fruits and Vegetables
6.0,39.0,18.0,Leafy Greens and Root Vegetables
6.0,45.0,18.0,Leafy Greens and Root Vegetables
6.0,60.0,18.0,Leafy Greens and Root Vegetables
7.9,42.0,18.0,Herbs and Aromatic Plants
6.0,59.0,20.0,Leafy Greens and Root Vegetables
7.0,43.0,15.0,Herbs and Aromatic Plants
6.5,57.0,18.0,Leafy Greens and Root Vegetables
7.5,49.0,19.0,Herbs and Aromatic Plants
6.5,51.0,13.0,Leafy Greens and Root Vegetables
6.0,48.0,11.0,Leafy Greens and Root Vegetables
6.3,35.0,14.0,Leafy Greens and Root Vegetables
6.0,36.0,19.0,Leafy Greens and Root Vegetables
6.2,32.0,18.0,Leafy Greens and Root Vegetables
7.3,59.0,24.0,Warm-Season Fruits and Vegetables
5.0,33.0,1.0,Berries and Evergreens
6.0,46.0,13.0,Leafy Greens and Root Vegetables
6.0,45.0,14.0,Leafy Greens and Root Vegetables
6.5,48.0,11.0,Leafy Greens and Root Vegetables
7.9,45.0,16.0,Herbs and Aromatic Plants
6.9,40.0,20.1,Warm-Season Fruits and Vegetables
6.9,47.0,20.6,Warm-Season Fruits and Vegetables
7.1,50.0,23.7,Warm-Season Fruits and Vegetables
7.1,52.0,27.5,Warm-Season Fruits and Vegetables
8.0,52.0,19.3,Herbs and Aromatic Plants
5.7,60.0,14.0,Leafy Greens and Root Vegetables
6.5,59.0,15.8,Leafy Greens and Root Vegetables
6.5,54.0,15.5,Leafy Greens and Root Vegetables
7.0,59.0,16.9,Herbs and Aromatic Plants
6.0,50.0,12.0,Leafy Greens and Root Vegetables
6.5,54.0,14.0,Leafy Greens and Root Vegetables
7.8,57.0,20.0,Herbs and Aromatic Plants
7.0,95.0,29.0,Tropical and Wetland Plants
7.0,95.0,31.5,Tropical and Wetland Plants
6.5,95.0,26.5,Tropical and Wetland Plants
6.5,95.0,27.8,Tropical and Wetland Plants
6.7,55.0,22.9,Warm-Season Fruits and Vegetables
6.9,40.0,26.9,Warm-Season Fruits and Vegetables
7.0,61.0,24.7,Warm-Season Fruits and Vegetables
7.4,61.0,21.4,Warm-Season Fruits and Vegetables
6.9,61.0,26.0,Warm-Season Fruits and Vegetables
7.2,61.0,21.8,Warm-Season Fruits and Vegetables
6.7,95.0,26.5,Tropical and Wetland Plants
6.7,61.0,23.0,Warm-Season Fruits and Vegetables
6.3,95.0,34.0,Tropical and Wetland Plants
5.9,60.0,11.0,Leafy Greens and Root Vegetables
6.3,60.0,13.0,Leafy Greens and Root Vegetables
6.7,43.0,26.0,Warm-Season Fruits and Vegetables
6.7,59.0,26.0,Warm-Season Fruits and Vegetables
6.6,95.0,26.5,Tropical and Wetland Plants
6.5,95.0,29.5,Tropical and Wetland Plants
6.6,95.0,33.0,Tropical and Wetland Plants
7.5,53.0,19.0,Herbs and Aromatic Plants
6.0,59.0,14.0,Leafy Greens and Root Vegetables
7.3,57.0,20.0,Warm-Season Fruits and Vegetables
7.5,64.0,20.0,Warm-Season Fruits and Vegetables
7.2,64.0,22.0,Warm-Season Fruits and Vegetables
6.0,60.0,18.0,Leafy Greens and Root Vegetables
6.0,59.0,15.0,Leafy Greens and Root Vegetables
6.0,70.0,30.0,Tropical and Wetland Plants
6.0,95.0,33.0,Tropical and Wetland Plants
6.0,70.0,26.0,Tropical and Wetland Plants
7.0,95.0,29.0,Tropical and Wetland Plants
7.0,50.0,26.0,Warm-Season Fruits and Vegetables
6.0,95.0,26.0,Tropical and Wetland Plants
7.0,64.0,21.0,Warm-Season Fruits and Vegetables
7.0,95.0,25.0,Tropical and Wetland Plants
7.0,44.0,22.0,Warm-Season Fruits and Vegetables
7.0,54.0,29.0,Warm-Season Fruits and Vegetables
7.0,51.0,24.0,Warm-Season Fruits and Vegetables
7.0,53.0,21.0,Warm-Season Fruits and Vegetables
6.0,33.0,15.0,Leafy Greens and Root Vegetables
6.0,53.0,17.0,Leafy Greens and Root Vegetables
6.1,95.0,30.0,Tropical and Wetland Plants
7.0,44.0,19.0,Herbs and Aromatic Plants
7.4,66.0,20.0,Warm-Season Fruits and Vegetables
6.0,54.0,13.5,Leafy Greens and Root Vegetables
6.6,95.0,27.0,Tropical and Wetland Plants
6.5,95.0,28.3,Tropical and Wetland Plants
6.9,95.0,27.1,Tropical and Wetland Plants
7.4,70.0,27.4,Warm-Season Fruits and Vegetables
6.8,50.0,29.2,Warm-Season Fruits and Vegetables
7.5,63.0,23.2,Warm-Season Fruits and Vegetables
6.0,51.0,17.1,Leafy Greens and Root Vegetables
7.7,58.0,19.5,Herbs and Aromatic Plants
7.3,53.0,17.5,Herbs and Aromatic Plants
6.0,32.0,15.5,Leafy Greens and Root Vegetables
6.0,48.0,14.8,Leafy Greens and Root Vegetables
7.0,49.0,18.1,Herbs and Aromatic Plants
6.4,38.0,11.9,Leafy Greens and Root Vegetables
6.4,38.0,18.2,Leafy Greens and Root Vegetables
6.4,40.0,15.9,Leafy Greens and Root Vegetables
6.0,95.0,29.0,Tropical and Wetland Plants
6.4,95.0,32.4,Tropical and Wetland Plants
6.4,100.0,33.0,Tropical and Wetland Plants
6.4,100.0,30.0,Tropical and Wetland Plants
8.0,38.0,33.0,Drought-Resistant Plants
6.7,95.0,33.5,Tropical and Wetland Plants
6.2,95.0,34.1,Tropical and Wetland Plants
8.0,30.0,30.0,Drought-Resistant Plants
7.0,100.0,30.0,Tropical and Wetland Plants
6.7,100.0,26.1,Tropical and Wetland Plants
7.0,43.0,15.9,Herbs and Aromatic Plants
5.7,57.0,16.9,Leafy Greens and Root Vegetables
5.7,31.0,13.5,Leafy Greens and Root Vegetables
5.7,39.0,12.0,Leafy Greens and Root Vegetables
8.6,30.0,32.4,Drought-Resistant Plants
8.6,37.0,33.0,Drought-Resistant Plants
8.9,28.0,32.0,Drought-Resistant Plants
8.6,35.0,31.0,Drought-Resistant Plants
6.5,100.0,31.0,Tropical and Wetland Plants
8.0,22.0,32.0,Drought-Resistant Plants
8.9,40.0,33.0,Drought-Resistant Plants
6.0,80.0,32.0,Tropical and Wetland Plants
9.0,36.0,35.0,Drought-Resistant Plants
8.9,37.0,31.0,Drought-Resistant Plants
6.0,39.0,10.8,Leafy Greens and Root Vegetables
7.9,45.0,21.3,Herbs and Aromatic Plants
7.6,42.0,22.8,Herbs and Aromatic Plants
6.9,40.0,23.8,Warm-Season Fruits and Vegetables
6.9,70.1,33.9,Tropical and Wetland Plants
8.6,39.0,36.6,Drought-Resistant Plants
8.8,37.0,33.2,Drought-Resistant Plants
7.6,50.0,18.0,Herbs and Aromatic Plants
7.7,56.0,20.0,Herbs and Aromatic Plants
6.4,73.0,25.4,Tropical and Wetland Plants
6.6,78.0,29.4,Tropical and Wetland Plants
6.4,83.0,25.8,Tropical and Wetland Plants
6.6,47.0,22.5,Warm-Season Fruits and Vegetables
7.6,49.0,19.5,Herbs and Aromatic Plants
6.8,53.0,21.5,Warm-Season Fruits and Vegetables
6.5,46.0,17.4,Leafy Greens and Root Vegetables
7.3,56.0,20.4,Warm-Season Fruits and Vegetables
7.2,70.0,20.4,Warm-Season Fruits and Vegetables
7.2,51.0,19.4,Herbs and Aromatic Plants
6.7,64.0,20.7,Warm-Season Fruits and Vegetables
6.5,73.0,27.2,Tropical and Wetland Plants
6.7,83.0,27.4,Tropical and Wetland Plants
8.8,40.0,41.0,Drought-Resistant Plants
6.9,55.0,28.5,Warm-Season Fruits and Vegetables
7.0,100.0,28.3,Tropical and Wetland Plants
7.0,69.0,27.6,Warm-Season Fruits and Vegetables
7.5,52.0,24.8,Warm-Season Fruits and Vegetables
7.4,64.0,27.2,Warm-Season Fruits and Vegetables
7.5,58.0,28.2,Warm-Season Fruits and Vegetables
7.5,59.0,25.9,Warm-Season Fruits and Vegetables
6.4,82.0,25.4,Tropical and Wetland Plants
6.1,80.0,31.6,Tropical and Wetland Plants
6.3,71.0,34.3,Tropical and Wetland Plants
6.7,79.0,33.9,Tropical and Wetland Plants
6.8,69.0,27.4,Warm-Season Fruits and Vegetables
7.1,69.0,24.9,Warm-Season Fruits and Vegetables
7.0,62.0,27.1,Warm-Season Fruits and Vegetables
7.0,56.0,21.9,Warm-Season Fruits and Vegetables
7.0,71.0,29.9,Tropical and Wetland Plants
7.0,93.0,29.1,Tropical and Wetland Plants
7.0,95.0,29.4,Tropical and Wetland Plants
7.0,40.0,17.9,Herbs and Aromatic Plants
7.3,52.7,20.4,Warm-Season Fruits and Vegetables
7.3,52.6,22.9,Warm-Season Fruits and Vegetables
7.7,44.8,22.8,Herbs and Aromatic Plants
8.9,28.0,34.3,Drought-Resistant Plants
7.8,38.0,31.0,Drought-Resistant Plants
7.9,45.9,15.9,Herbs and Aromatic Plants
8.7,35.0,32.3,Drought-Resistant Plants
7.0,44.5,15.4,Herbs and Aromatic Plants
6.5,54.6,18.0,Leafy Greens and Root Vegetables
7.8,43.7,19.8,Herbs and Aromatic Plants
7.2,56.8,19.0,Herbs and Aromatic Plants
6.9,48.1,28.6,Warm-Season Fruits and Vegetables
6.6,67.5,27.2,Warm-Season Fruits and Vegetables
6.9,73.3,27.0,Tropical and Wetland Plants
7.1,56.7,26.0,Warm-Season Fruits and Vegetables
6.3,85.6,29.0,Tropical and Wetland Plants
7.5,52.4,28.0,Warm-Season Fruits and Vegetables
6.7,68.5,30.0,Warm-Season Fruits and Vegetables
6.3,72.6,27.0,Tropical and Wetland Plants
6.2,90.3,27.0,Tropical and Wetland Plants
6.6,72.3,27.0,Tropical and Wetland Plants
6.0,82.1,27.0,Tropical and Wetland Plants
7.2,61.7,29.0,Warm-Season Fruits and Vegetables
6.8,54.8,30.0,Warm-Season Fruits and Vegetables
7.5,57.8,30.0,Warm-Season Fruits and Vegetables
7.5,45.6,30.0,Warm-Season Fruits and Vegetables
6.4,100.0,31.0,Tropical and Wetland Plants
6.0,72.0,30.0,Tropical and Wetland Plants
6.6,100.0,29.0,Tropical and Wetland Plants
7.2,50.0,28.0,Warm-Season Fruits and Vegetables
7.0,47.3,22.8,Warm-Season Fruits and Vegetables
6.7,41.9,25.8,Warm-Season Fruits and Vegetables
5.6,39.0,15.8,Leafy Greens and Root Vegetables
5.6,54.0,15.4,Leafy Greens and Root Vegetables
4.9,40.0,9.2,Berries and Evergreens
6.0,59.0,18.1,Leafy Greens and Root Vegetables
7.0,61.0,25.6,Warm-Season Fruits and Vegetables
7.3,53.0,26.3,Warm-Season Fruits and Vegetables
7.0,69.0,28.2,Warm-Season Fruits and Vegetables
7.0,79.0,29.2,Tropical and Wetland Plants
7.4,70.0,23.3,Warm-Season Fruits and Vegetables
6.0,46.0,19.6,Leafy Greens and Root Vegetables
6.4,74.0,25.2,Tropical and Wetland Plants
8.0,52.0,20.8,Herbs and Aromatic Plants
7.0,55.0,24.5,Warm-Season Fruits and Vegetables
7.0,50.0,20.1,Warm-Season Fruits and Vegetables
7.4,44.0,17.7,Herbs and Aromatic Plants
7.5,65.0,23.9,Warm-Season Fruits and Vegetables
5.9,50.0,18.9,Leafy Greens and Root Vegetables
6.7,64.0,21.1,Warm-Season Fruits and Vegetables
6.7,65.0,20.7,Warm-Season Fruits and Vegetables
6.1,39.0,18.2,Leafy Greens and Root Vegetables
6.1,36.0,19.4,Leafy Greens and Root Vegetables
7.1,68.0,26.0,Warm-Season Fruits and Vegetables
7.0,75.0,28.0,Tropical and Wetland Plants
7.0,55.0,29.4,Warm-Season Fruits and Vegetables
7.0,54.0,15.7,Herbs and Aromatic Plants
7.0,42.0,20.7,Warm-Season Fruits and Vegetables
7.0,44.0,18.9,Herbs and Aromatic Plants
7.0,57.0,15.3,Herbs and Aromatic Plants
7.3,52.0,16.4,Herbs and Aromatic Plants
7.6,40.0,15.1,Herbs and Aromatic Plants
7.6,40.0,21.0,Herbs and Aromatic Plants
6.5,32.0,17.2,Leafy Greens and Root Vegetables
6.0,80.8,27.9,Tropical and Wetland Plants
6.3,88.8,25.0,Tropical and Wetland Plants
6.3,76.5,27.0,Tropical and Wetland Plants
7.0,87.7,25.8,Tropical and Wetland Plants
6.1,85.8,25.1,Tropical and Wetland Plants
6.5,75.6,28.4,Tropical and Wetland Plants
6.6,89.4,33.3,Tropical and Wetland Plants
6.7,88.1,31.3,Tropical and Wetland Plants
6.1,78.5,32.3,Tropical and Wetland Plants
6.0,100.0,31.7,Tropical and Wetland Plants
7.0,87.5,32.2,Tropical and Wetland Plants
6.4,77.1,28.6,Tropical and Wetland Plants
6.0,89.1,28.0,Tropical and Wetland Plants
6.4,32.7,11.5,Leafy Greens and Root Vegetables
5.7,43.0,17.8,Leafy Greens and Root Vegetables
5.7,34.0,16.3,Leafy Greens and Root Vegetables
6.0,33.0,15.8,Leafy Greens and Root Vegetables
7.0,43.0,17.9,Herbs and Aromatic Plants
6.0,42.0,17.7,Leafy Greens and Root Vegetables
4.0,23.0,10.0,Berries and Evergreens
5.0,22.0,10.0,Berries and Evergreens
4.7,29.0,9.0,Berries and Evergreens
6.2,33.0,12.0,Leafy Greens and Root Vegetables
6.2,35.0,15.0,Leafy Greens and Root Vegetables
6.3,36.0,11.0,Leafy Greens and Root Vegetables
6.0,56.0,13.5,Leafy Greens and Root Vegetables
6.6,47.0,26.5,Warm-Season Fruits and Vegetables
7.2,59.0,20.3,Warm-Season Fruits and Vegetables
6.9,67.0,21.0,Warm-Season Fruits and Vegetables
6.4,58.0,19.0,Leafy Greens and Root Vegetables
6.4,52.0,19.0,Leafy Greens and Root Vegetables
6.4,57.0,12.5,Leafy Greens and Root Vegetables
6.5,46.0,12.0,Leafy Greens and Root Vegetables
5.5,40.0,5.0,Berries and Evergreens
5.2,39.0,7.0,Berries and Evergreens
4.0,35.0,2.5,Berries and Evergreens
4.5,38.0,3.0,Berries and Evergreens
5.3,40.0,3.0,Berries and Evergreens
5.0,40.0,5.0,Berries and Evergreens
6.5,57.0,16.0,Leafy Greens and Root Vegetables
7.1,59.0,18.0,Herbs and Aromatic Plants
7.6,51.0,15.0,Herbs and Aromatic Plants
7.4,53.0,18.0,Herbs and Aromatic Plants
6.4,73.0,27.0,Tropical and Wetland Plants
5.8,50.0,17.0,Leafy Greens and Root Vegetables
6.3,47.0,19.0,Leafy Greens and Root Vegetables
5.8,55.0,16.0,Leafy Greens and Root Vegetables
5.8,45.0,12.0,Leafy Greens and Root Vegetables
4.3,38.0,4.0,Berries and Evergreens
4.9,38.0,4.0,Berries and Evergreens
6.5,51.0,15.0,Leafy Greens and Root Vegetables
7.5,40.0,15.0,Herbs and Aromatic Plants
6.0,45.0,13.0,Leafy Greens and Root Vegetables
6.2,55.0,11.0,Leafy Greens and Root Vegetables
5.8,42.0,11.0,Leafy Greens and Root Vegetables
6.1,38.0,17.0,Leafy Greens and Root Vegetables
6.1,38.0,19.0,Leafy Greens and Root Vegetables
6.1,44.0,20.0,Leafy Greens and Root Vegetables
6.1,41.0,14.0,Leafy Greens and Root Vegetables
7.3,51.5,23.0,Warm-Season Fruits and Vegetables
7.4,42.3,25.0,Warm-Season Fruits and Vegetables
7.2,60.6,30.0,Warm-Season Fruits and Vegetables
7.2,64.9,28.0,Warm-Season Fruits and Vegetables
7.2,61.7,20.0,Warm-Season Fruits and Vegetables
7.2,67.8,20.0,Warm-Season Fruits and Vegetables
7.2,56.8,20.0,Warm-Season Fruits and Vegetables
6.0,55.7,16.0,Leafy Greens and Root Vegetables
5.8,55.7,13.0,Leafy Greens and Root Vegetables
6.3,30.3,14.0,Leafy Greens and Root Vegetables
7.5,47.0,15.0,Herbs and Aromatic Plants
5.7,40.0,11.0,Leafy Greens and Root Vegetables
6.3,59.3,11.0,Leafy Greens and Root Vegetables
6.4,59.3,12.0,Leafy Greens and Root Vegetables
6.3,55.7,16.0,Leafy Greens and Root Vegetables
6.3,48.9,17.0,Leafy Greens and Root Vegetables
6.2,38.4,16.0,Leafy Greens and Root Vegetables
6.2,53.2,11.0,Leafy Greens and Root Vegetables
6.5,54.2,12.0,Leafy Greens and Root Vegetables
6.3,57.4,10.0,Leafy Greens and Root Vegetables
6.3,60.0,14.0,Leafy Greens and Root Vegetables
5.6,57.0,18.0,Leafy Greens and Root Vegetables
6.2,57.6,20.0,Leafy Greens and Root Vegetables
6.6,47.3,20.0,Warm-Season Fruits and Vegetables
6.0,34.6,20.0,Leafy Greens and Root Vegetables
7.6,45.8,23.0,Herbs and Aromatic Plants
6.4,60.0,18.0,Leafy Greens and Root Vegetables
6.5,45.0,14.0,Leafy Greens and Root Vegetables
6.4,35.0,11.0,Leafy Greens and Root Vegetables
6.1,40.0,13.0,Leafy Greens and Root Vegetables
6.4,35.0,11.0,Leafy Greens and Root Vegetables
6.0,55.0,13.0,Leafy Greens and Root Vegetables
5.0,34.0,3.0,Berries and Evergreens
5.3,25.0,5.0,Berries and Evergreens
5.0,39.0,3.0,Berries and Evergreens
5.8,60.0,14.4,Leafy Greens and Root Vegetables
6.3,55.0,14.7,Leafy Greens and Root Vegetables
5.8,60.0,12.3,Leafy Greens and Root Vegetables
